trainsize, units, mse, avg_error
16,2,0.2096212790486603,0.42566430615261197
16,4,0.25850670729347175,0.41849504970014095
16,8,0.25287297471326087,0.36745274951681495
32,2,0.22814336649829442,0.4211410894058645
32,4,0.1619888030149787,0.3170843292027712
32,8,0.21106156851887675,0.3874113499186933
64,2,0.2447271025104831,0.43199713714420795
64,4,0.21666575366049962,0.3933674986474216
64,8,0.11422649064582464,0.25765143195167184
16,2,0.23987473478915752,0.4454934801906347
16,4,0.33039287098050624,0.45719860633835196
16,8,0.3238877486814228,0.38287165435031056
32,2,0.25400433379362997,0.39480205764994025
32,4,0.17710330701438146,0.3186145192012191
32,8,0.20382517914551262,0.40305836172774434
64,2,0.23752648135943238,0.43898219894617796
64,4,0.24170915370185939,0.40127563243731856
64,8,0.24498916780156194,0.3832068806514144
16,2,0.23496182308703645,0.4226672281511128
16,4,0.31159287628333826,0.45288862939924
16,8,0.38795332505688723,0.487121244892478
32,2,0.2634896369927219,0.49672745866701007
32,4,0.260481929183771,0.3853555885143578
32,8,0.27710719689901286,0.35608007526025176
64,2,0.2257384959112293,0.40928585594519973
64,4,0.18622278361575878,0.3615132737904787
64,8,0.18744892101749747,0.33949821814894676
16,2,0.28112471632749697,0.4102323376573622
16,4,0.21853526468751874,0.31769005861133337
16,8,0.3202903103158524,0.40572466840967536
32,2,0.2160977813021281,0.3870683670975268
32,4,0.26535352365569137,0.34877185756340623
32,8,0.20529816618775198,0.39703931100666523
64,2,0.22536643958937885,0.4095318024046719
64,4,0.22955945895983304,0.38987907441332936
64,8,0.3069065064089437,0.4477174459025264
16,2,0.2264581053140525,0.3558076238259673
16,4,0.27975795760672645,0.37298552272841334
16,8,0.2915482119000363,0.3534106477163732
32,2,0.23776736933065884,0.437796039506793
32,4,0.29201399563467384,0.3991185175254941
32,8,0.22844246877956964,0.33257741248235106
64,2,0.271943642801844,0.4608214204199612
64,4,0.18454125369836125,0.38274969439953566
64,8,0.1847263953598855,0.35590342758223414
16,2,0.20838064447633847,0.39804767398163676
16,4,0.2801046351574317,0.3746367124840617
16,8,0.3497773145420283,0.4212077986449003
32,2,0.23646475157222094,0.4008844122290611
32,4,0.23756949160392182,0.33507882012054324
32,8,0.2623245575815398,0.41467733308672905
64,2,0.21159166654148295,0.40288254525512457
64,4,0.14817632390076535,0.3111921208910644
64,8,0.2141940259584519,0.3868731493130326
16,2,0.2580121198017441,0.45286345994099975
16,4,0.2561416407756439,0.32946775015443563
16,8,0.23624240972599803,0.41093073040246964
32,2,0.20201023913905153,0.40381912235170603
32,4,0.22708408311635364,0.27964709931984544
32,8,0.262744964890689,0.4089461932890117
64,2,0.261470386273365,0.42028507217764854
64,4,0.19742583144834555,0.3516381373628974
64,8,0.2071665113250752,0.3658041157759726
16,2,0.30546140650651576,0.3987905289977789
16,4,0.19529251184495386,0.37702414114028215
16,8,0.18533359889813206,0.27834905311465263
32,2,0.22013604004079385,0.42483158595860004
32,4,0.21182363341546157,0.36699148174375296
32,8,0.1809746416555176,0.31317083444446325
64,2,0.2283547893322499,0.40938416915014386
64,4,0.16012715607467398,0.3268519747070968
64,8,0.20267594560099467,0.35468308301642537
16,2,0.2511028461435625,0.40792153775691986
16,4,0.29251088131732583,0.37705253157764673
16,8,0.2823305439039321,0.42293292097747326
32,2,0.17580141384866355,0.28636579075828195
32,4,0.18317956279944017,0.35348578356206417
32,8,0.18925237662114325,0.3109390460886061
64,2,0.2357126554437439,0.3789657047018409
64,4,0.22974665635576622,0.3664544844068587
64,8,0.30463983172535314,0.45438513020053506
16,2,0.27871891293314593,0.4827830633148551
16,4,0.30453394525765276,0.36580633791163564
16,8,0.21895486115669582,0.3486568480730057
32,2,0.26532178157197067,0.4231331837363541
32,4,0.2761702325975932,0.44050604617223144
32,8,0.22727663855946306,0.35474933916702867
64,2,0.2270528080514181,0.43830456864088774
64,4,0.17274924205928824,0.36515858862549067
64,8,0.21156501728037963,0.3500951770693064
16,2,0.2447699140963141,0.44985993346199393
16,4,0.2919101103649764,0.3736886181868613
16,8,0.2064724491965632,0.319967043120414
32,2,0.2520987713430982,0.4452204671688378
32,4,0.19371993804896806,0.2868332928046584
32,8,0.21762712153290864,0.3283532001078129
64,2,0.1991084676737876,0.40135610569268465
64,4,0.20291332201502224,0.40031151473522186
64,8,0.21061492378238286,0.3577740518376231
16,2,0.2513143715311794,0.465557630173862
16,4,0.29188556686830414,0.350165240932256
16,8,0.3357099606638507,0.4163984037004411
32,2,0.34940639167978427,0.45308778854086995
32,4,0.20338957519213763,0.33478382462635636
32,8,0.2202630560414084,0.32139917789027095
64,2,0.2588439803179886,0.4463711860589683
64,4,0.23086258606897386,0.36673436453565955
64,8,0.14692477073244206,0.3049445543438196
16,2,0.23339630530871075,0.39914673287421465
16,4,0.3121934442073863,0.43546249344944954
16,8,0.2850438207896413,0.44070151075720787
32,2,0.22975304194516386,0.39815099257975817
32,4,0.3207107942972968,0.4710226054303348
32,8,0.29645670752675357,0.429758470505476
64,2,0.22782080901292884,0.3948577647097409
64,4,0.25272121454584096,0.38012338569387794
64,8,0.18431831997643094,0.33736583264544606
16,2,0.24059694006871699,0.4489601422101259
16,4,0.25642365948295065,0.3317352309823036
16,8,0.23434962421558853,0.3373591569252312
32,2,0.22999613821917347,0.3820833135396242
32,4,0.27030556516811566,0.4089891058392823
32,8,0.20710626015587724,0.3285399111919105
64,2,0.2306012777560038,0.46057404624298215
64,4,0.16471735205859744,0.3741725282743573
64,8,0.1538213089059315,0.3239388042129576
16,2,0.2219288062165877,0.29406679794192314
16,4,0.3868969759121313,0.44620192144066095
16,8,0.25386364811071005,0.35829794919118285
32,2,0.22588548538287867,0.4087285930290818
32,4,0.2744488832313913,0.40585054038092494
32,8,0.27595696653844337,0.3783269082196057
64,2,0.2181593629806146,0.3765420173294842
64,4,0.2641347999827986,0.4489857107400894
64,8,0.22442092557496035,0.4104204745963216
16,2,0.2367985060658837,0.4220741391181946
16,4,0.33815995122681863,0.4098599967546761
16,8,0.2607687928906409,0.3826962625607848
32,2,0.2110042189612678,0.40691939601674676
32,4,0.19184820415730297,0.3276921766810119
32,8,0.2316066984098601,0.32408606307581067
64,2,0.20563954158722358,0.37949639884755015
64,4,0.18325953383240468,0.338920590467751
64,8,0.20732569873832868,0.34490178944543004
16,2,0.2504070161846729,0.31201237300410867
16,4,0.44295329537680284,0.549615066498518
16,8,0.27670130569034296,0.31455099768936634
32,2,0.2066459352484245,0.38106907019391656
32,4,0.1725263330907454,0.34314858820289373
32,8,0.22143150339876533,0.38916585966944695
64,2,0.2616237879181534,0.43239382840692997
64,4,0.20668239577538658,0.3760820282623172
64,8,0.23992835329392945,0.38207192812114954
16,2,0.31993491058131907,0.438212594948709
16,4,0.2547827631726781,0.33219059836119413
16,8,0.34734114631168156,0.4271839912980795
32,2,0.19888219274359842,0.36051978589966893
32,4,0.2975165630606247,0.46444857586175203
32,8,0.16419691841726952,0.29117967281490564
64,2,0.2493773106504392,0.40596300456672907
64,4,0.2110608801173075,0.3699397942982614
64,8,0.1457365591613035,0.3446865505538881
16,2,0.3456632424826409,0.4285249402746558
16,4,0.29529797842732924,0.44575229939073324
16,8,0.20222208986254725,0.23089648270979524
32,2,0.23086693797731905,0.3804109329357743
32,4,0.19644929388897306,0.3316920166835189
32,8,0.219877273365064,0.4047225331887603
64,2,0.22656136730499848,0.4319565650075674
64,4,0.2075763724190287,0.41235094936564565
64,8,0.2064078069233951,0.41231376118957996
16,2,0.20198567326207306,0.42234822642058134
16,4,0.28194123316855557,0.37100091530010104
16,8,0.3001538676591754,0.36559918941929936
32,2,0.25805276747151734,0.4368973118253052
32,4,0.2445668889251405,0.29770036321133375
32,8,0.20756739242942304,0.42225655540823936
64,2,0.21676181940964417,0.43744641030207276
64,4,0.20586474495583273,0.4106953092850745
64,8,0.21647833530582233,0.35633068764582276
16,2,0.25484523749271315,0.39508933760225773
16,4,0.3078060151024953,0.4095568950287998
16,8,0.2417634453193722,0.33605024171993136
32,2,0.2336999991814174,0.42360999295488
32,4,0.30261862531324746,0.4012974719516933
32,8,0.25561681569303885,0.40963184041902423
64,2,0.27687868779588354,0.42649130756035447
64,4,0.20532979627621203,0.3695213971659541
64,8,0.1951777199732076,0.33247328363358974
16,2,0.2536577633032663,0.43717609718441963
16,4,0.3542187735330507,0.4356393343769014
16,8,0.28620501270450927,0.41950645484030247
32,2,0.23719331618478182,0.37459064926952124
32,4,0.27008056476292475,0.3868377418257296
32,8,0.19959857727489638,0.3028382435441017
64,2,0.21550763890585112,0.42230641655623913
64,4,0.15205516382337383,0.3230826612561941
64,8,0.23573590654911197,0.4056881326250732
16,2,0.19348459629100018,0.3654066692106426
16,4,0.17177915409602823,0.3375842743553221
16,8,0.32569775009146174,0.4007379780523479
32,2,0.19088730957131095,0.395700816065073
32,4,0.2131055039435107,0.3617051583714783
32,8,0.163379128914712,0.28616683278232813
64,2,0.2559597983506272,0.42015618178993464
64,4,0.21177129969479902,0.3526318953372538
64,8,0.20988172770580515,0.33984991116449237
16,2,0.3396391254521965,0.39261831110343337
16,4,0.21883564714347203,0.42115085385739803
16,8,0.27187355293118876,0.3464816343039274
32,2,0.21321898501493458,0.4340738137252629
32,4,0.2574391570804208,0.3830732391215861
32,8,0.21846031917200767,0.38070730306208134
64,2,0.2560845432906827,0.4338357481174171
64,4,0.21179132312232637,0.4476641956716776
64,8,0.2217975267124503,0.44488190300762653
16,2,0.31960842931355177,0.4275461444631219
16,4,0.37705834346746714,0.4640761907212436
16,8,0.19151871063359494,0.3466908079572022
32,2,0.22225060644641173,0.3665614854544401
32,4,0.23396752660675668,0.43404677929356694
32,8,0.25840073016392057,0.3941567810252309
64,2,0.21483816324129695,0.41057016840204597
64,4,0.23399021210747392,0.38125829584896564
64,8,0.22255931610822452,0.3920098301023245
16,2,0.2631006353228503,0.46071389503777027
16,4,0.24033383778016026,0.31344726076349616
16,8,0.35350572767145544,0.39977379655465484
