trainsize, units, mse, avg_error
64,2,0.2471346992567507,0.459020693320781
64,4,0.1851826003766049,0.35708777140825987
64,8,0.18664899162043685,0.33243047911673784
16,2,0.216722236224056,0.4113335437141359
16,4,0.2695332906858665,0.4474507262930274
16,8,0.23767463968456332,0.32501513324677944
32,2,0.19309162088673026,0.3789891256019473
32,4,0.3328664534487319,0.433867116458714
32,8,0.17612227825702265,0.3270380864851177
64,2,0.20077553799645975,0.40934279235079885
64,4,0.1753230663721704,0.33587527088820934
64,8,0.192279118472231,0.38456010445952415
16,2,0.2786125467866308,0.40108652831986547
16,4,0.2834351756254249,0.4160781651735306
16,8,0.2602068313099013,0.3193773371167481
32,2,0.22262951208140347,0.43153257155790925
32,4,0.21647298342250482,0.3373847804032266
32,8,0.2369413997007196,0.45065321354195476
64,2,0.20846990643883312,0.4070751187391579
64,4,0.2110641740512189,0.3754129600711167
64,8,0.20527911115860514,0.3788545820862055
16,2,0.2666558765028675,0.3922787457704544
16,4,0.32523818552918593,0.436634854413569
16,8,0.32468619671743804,0.4551015538163483
32,2,0.20023641279139448,0.4021694348193705
32,4,0.28920900151719836,0.4010324841365218
32,8,0.22466555969223623,0.32041998812928796
64,2,0.2312135263290993,0.4443639712408185
64,4,0.21558667387660327,0.4115752698853612
64,8,0.24131474962286553,0.4058605837635696
16,2,0.2857926031782754,0.4730833750218153
16,4,0.26007002619953284,0.4073594813235104
16,8,0.3297261147013943,0.4055184945464134
32,2,0.22991785766710837,0.4542078278027475
32,4,0.214492152214976,0.410152580589056
32,8,0.2047000100642277,0.29177576396614313
64,2,0.21028258318960344,0.38047818280756474
64,4,0.196634932815542,0.3275017775595188
64,8,0.18495511543657833,0.30214488646015525
16,2,0.2453714554139965,0.42395694833248854
16,4,0.20520848182655177,0.31958190631121397
16,8,0.2532476144997877,0.40015511494129896
32,2,0.23102023006637282,0.39174486231058836
32,4,0.2728239730121526,0.37761447206139565
32,8,0.27193600947716673,0.3996331677772105
64,2,0.258307324700391,0.4595476556569338
64,4,0.23724573847360253,0.4413711382076144
64,8,0.17501430704999427,0.3483270676806569
16,2,0.33430745151967994,0.4642957425676286
16,4,0.298101693087761,0.4233554727397859
16,8,0.286602777060447,0.3653639112599194
32,2,0.2936909594460231,0.4116300232708454
32,4,0.299450407748157,0.39586972957476974
32,8,0.19131146568986726,0.29238411225378513
64,2,0.2096842441842003,0.4211552571505308
64,4,0.2277700089973672,0.36384339118376374
64,8,0.28485894593305466,0.3999751452356577
16,2,0.23158348588523386,0.45314767165109515
16,4,0.43368033068707057,0.48884624522179365
16,8,0.4465655229100029,0.5504961516708136
32,2,0.2522878466421126,0.4524619523435831
32,4,0.2164572119146706,0.36575007485225797
32,8,0.211026591885478,0.298231718596071
64,2,0.2438280175008009,0.4521241597831249
64,4,0.1728477598192133,0.2930841976776719
64,8,0.25032862055827626,0.37289222283288836
16,2,0.24817584502220602,0.37240828666836023
16,4,0.31826855126306813,0.4310801178216934
16,8,0.2761100664956429,0.36550620663911104
32,2,0.2464423885102815,0.4566256608814001
32,4,0.23083647639186994,0.4100274555385113
32,8,0.282441028604518,0.3820409793406725
64,2,0.240611173510768,0.4424789040349424
64,4,0.17706583786574406,0.2855847114697099
64,8,0.2961864706368644,0.4499970292672515
16,2,0.2541198415063321,0.465590778272599
16,4,0.31158260471194904,0.4607684765942395
16,8,0.3384015599940101,0.4289202652871609
32,2,0.22603999803579497,0.45695814304053783
32,4,0.17905202234049494,0.30391550343483686
32,8,0.2525866972148709,0.35371311753988266
64,2,0.2236881528820311,0.41397075774148107
64,4,0.2051951860451728,0.40898140985518694
64,8,0.14728934541621935,0.3112456160597503
16,2,0.2268649143724291,0.40207640174776316
16,4,0.30122248942880936,0.37805415596812963
16,8,0.2493624812351361,0.4037645263597369
32,2,0.2611473383221557,0.4629556583240628
32,4,0.22529118211661242,0.37416488490998745
32,8,0.27723396710189696,0.32117774011567235
64,2,0.2517710527182522,0.4696816620416939
64,4,0.2927872489904547,0.4642788674682379
64,8,0.2124928601812705,0.4379021213389933
16,2,0.2848680425336193,0.38341540889814496
16,4,0.3508312544951968,0.4340312695130706
16,8,0.2539247483741431,0.362242944072932
32,2,0.2576866666042586,0.44190073758363724
32,4,0.21578384594739441,0.3662660284899175
32,8,0.3062297090104775,0.4049689304083586
64,2,0.22804831247599322,0.45613299030810595
64,4,0.20317062218452786,0.40071350894868374
64,8,0.2382382632739815,0.45816202694550157
16,2,0.2227947147070671,0.4247897807508707
16,4,0.26694491818284294,0.40905345557257533
16,8,0.3073795596287776,0.40130217373371124
32,2,0.27195791044889056,0.4891984323039651
32,4,0.2421540427790637,0.37749456660822034
32,8,0.24128713333570306,0.3728409712202847
64,2,0.23646437381561997,0.46940502943471074
64,4,0.18477433499184978,0.35462399292737246
64,8,0.2143395695899426,0.40681902738288045
16,2,0.24925969115154928,0.4509012051858008
16,4,0.26406880338763145,0.4346687369979918
16,8,0.2555763771633315,0.3739441097714007
32,2,0.25763794652459665,0.41237914888188243
32,4,0.2124999279097647,0.3797391173429787
32,8,0.2638783647348195,0.42624499602243304
64,2,0.21192945217626907,0.40771381789818406
64,4,0.22539324872287977,0.4062047526240349
64,8,0.18569887361778048,0.3353919652290642
16,2,0.28985225652404506,0.4109096210449934
16,4,0.32551953411650786,0.4391289153136313
16,8,0.370708107532059,0.49573693610727787
32,2,0.19346776707118835,0.37883767765015364
32,4,0.23189566784251955,0.3723380398005247
32,8,0.18581149267464775,0.34869689773768187
64,2,0.22587045613255408,0.4486996573396027
64,4,0.20729812433741374,0.40795871103182435
64,8,0.152948889514844,0.298304938711226
16,2,0.2997438943478765,0.45592381805181503
16,4,0.24639157658867325,0.3299759910441935
16,8,0.32378268445226965,0.3791669583879411
32,2,0.24116671267872258,0.4446485312655568
32,4,0.2301838736076423,0.4031609771773219
32,8,0.19010542420105753,0.3850339916534722
64,2,0.255765564737497,0.45505583193153143
64,4,0.19154285140986588,0.3713734527118504
64,8,0.18763333724209863,0.3347989530302584
16,2,0.28578227653288657,0.4668316124007106
16,4,0.19528102351269466,0.3634174596518278
16,8,0.34641150058184966,0.44004722218960524
32,2,0.28241421653117926,0.4572971477173269
32,4,0.21474269353747366,0.39518838422372937
32,8,0.30272842853193216,0.3840508358553052
64,2,0.22779933011500594,0.452133578248322
64,4,0.2298234137750988,0.34309549117460847
64,8,0.23583545922989776,0.3954010852612555
16,2,0.27198987090709986,0.43833421263843775
16,4,0.3421998534618632,0.431099615059793
16,8,0.34799144909599733,0.4156761122867465
32,2,0.20103521874468894,0.40149500826373696
32,4,0.23987759792746377,0.3749261829070747
32,8,0.26080306227936123,0.3591370931826532
64,2,0.21175870528292662,0.4218011791817844
64,4,0.2851375738161444,0.4474740829318762
64,8,0.17018666559073836,0.3487790860235691
16,2,0.3192561998512602,0.470853126142174
16,4,0.2528364810316339,0.33452902641147375
16,8,0.24400823901806784,0.318750424310565
32,2,0.22473703070782744,0.442060736939311
32,4,0.27299935708885287,0.340255593881011
32,8,0.2784323390106189,0.41889157984405756
64,2,0.2689980423702314,0.46522362530231476
64,4,0.1348021894149488,0.28880470246076584
64,8,0.19142322217046703,0.3366489172913134
16,2,0.24401921321538883,0.3916513272561133
16,4,0.25193774169558414,0.34607525123283267
16,8,0.315257173672422,0.373701820615679
32,2,0.2263063170743415,0.411038548219949
32,4,0.19353620773958607,0.3360236119478941
32,8,0.1799745255736366,0.3175954418256879
64,2,0.23882912416887717,0.43156443210318685
64,4,0.18635204287445192,0.39075440261512995
64,8,0.17536414905568748,0.34015348833054304
16,2,0.3149699386801986,0.44026304595172405
16,4,0.20754551907956809,0.35837943525984883
16,8,0.25228544775387807,0.4692808478139341
32,2,0.21698510173511892,0.43000111961737275
32,4,0.25852636007811763,0.4444829258136451
32,8,0.2235381299676472,0.4046752601861954
64,2,0.26524478402404017,0.4607657133601606
64,4,0.20406807140019725,0.33821297250688076
64,8,0.2497945871534669,0.3910696189850569
16,2,0.26221685501348385,0.45026070065796375
16,4,0.3241653639842827,0.4354450539685786
16,8,0.28169592662148824,0.4021408879198134
32,2,0.34274684100494657,0.4729217360727489
32,4,0.22648881886760092,0.35729505820199847
32,8,0.24441522466499221,0.47334079584106803
64,2,0.23446589465667264,0.42439176607877016
64,4,0.17554598907957802,0.3262042053975165
64,8,0.25382489032349154,0.4044763636775315
16,2,0.3189385672389735,0.4406093512661755
16,4,0.33048075913074226,0.3884926135651767
16,8,0.3409814949346254,0.42505428986623883
32,2,0.21967476441940398,0.4096012422814965
32,4,0.19175623462347746,0.38035812973976135
32,8,0.34660127789377804,0.4639732949435711
64,2,0.30108551740743217,0.4988123830407858
64,4,0.22442622296121345,0.4289811756461859
64,8,0.23772185068729068,0.4237552769482136
16,2,0.28566337934012975,0.4337445837445557
16,4,0.410591804963438,0.4658658243715763
16,8,0.2485344354131021,0.37377863796427846
32,2,0.2248712913071381,0.45596130285412073
32,4,0.3108461872609362,0.4524126541800797
32,8,0.21810565913933067,0.31032739160582423
64,2,0.20887535922289696,0.4209907343611121
64,4,0.25052039283355654,0.4352698754519224
64,8,0.24454422771280965,0.3783658226020634
16,2,0.26182002095252044,0.41868484439328313
16,4,0.31422460054674806,0.3707674639299512
16,8,0.38970172127039865,0.445410197135061
32,2,0.25163406563019636,0.3958619749173522
32,4,0.1919020607678799,0.3440265073440969
32,8,0.20927646377515657,0.361792269628495
64,2,0.2118387095025468,0.40609545866027474
64,4,0.2130675889243028,0.3246075501665473
64,8,0.18764942205378426,0.37324392376467586
16,2,0.35100246948060193,0.4912206334993243
16,4,0.31500251528699774,0.4641351322643459
16,8,0.39367735315281255,0.5065192454494536
32,2,0.23069577373107555,0.47435021214187145
32,4,0.30837276186564594,0.4509819387458265
32,8,0.19651868019912191,0.31896047480404377
64,2,0.2937312085745891,0.4725951631553471
